url,title,image,provider,rtp,raw_rtp_text,description
https://bzstarz.com/be2fc0caf,Football Plinko Slot,https://admin-prod.b6zcdn.com/optimized_images/portrait/softswiss/FootballPlinko.webp,,99,RTP: 99%,"Football fans, this version of Plinko was made first and foremost with you in mind! Get your boots on the grass-covered field and play the enhanced iconic casual game with plenty of customizable features. Get the ball rolling!"
https://bzstarz.com/be2fc0caf,Mine Gems Slot,https://admin-prod.b6zcdn.com/optimized_images/portrait/softswiss/MineGems.webp,,98.4,RTP:98.4%,"The timeless Minesweeper game with a modern twist! Each horizontal row of the ice-capped 5×12 field conceals 4 sparkling diamonds and 1 explosive dynamite. The farther up you go, the higher your potential win, as the rows represent increasing multiplier values. Trust your gut and stride to the final tile in one go, or use the opportunity to cash out at any point to score wins in careful steps!"
https://bzstarz.com/be2fc0caf,Dice Clash Slot,https://admin-prod.b6zcdn.com/optimized_images/portrait/softswiss/DiceClash.webp,,98.05,RTP: 98.05%,"In this enchanting tabletop game, players roll their dice against opponents, all set in a tranquil Sakura landscape. Choose your volatility level — low, medium, or high — and roll your way to victory! Will you outscore them and claim your win? Let the gentle breeze guide your dice as you aim for the bigger reward!"
https://bzstarz.com/be2fc0caf,The Ghost Walks Slot,https://admin-prod.b6zcdn.com/optimized_images/portrait/belatra/GhostWalks.webp,,98,RTP: 98%,"The Ghost Walks! - a bright, cheerful and incredibly positive slot in the best traditions of Halloween. The action takes place in an old abandoned castle, where not a single dozen ghosts and spirits live. In the endless dark and gloomy rooms and corridors of the old castle is inhabited by the shadows of its former masters and servants who once worked in this house."
https://bzstarz.com/be2fc0caf,Piggy Bjorn - Muspelheim's Treasure Slot,https://admin-prod.b6zcdn.com/optimized_images/portrait/gameart/PiggyBjornMuspelheimsTreasure.webp,,97.68,RTP: 97.68 %,"In the base game, you will climb up to the Viking’s fortress and join Piggy Bjorn and his army in their search for 3+ Scatters to trigger the Raid Bonus and gain access to Muspelheim. On your way to Muspelheim in the base game, be sure to land a PIGGY COLLECT symbol to win all the PIGGY LOOT cash prizes on screen"
https://bzstarz.com/be2fc0caf,Brumby's 243 Slot,https://admin-prod.b6zcdn.com/optimized_images/portrait/1spin4win/Brumbys243.webp,,97.6,RTP: 97.6%,Traditional symbols with three noble horses are placed on the bright 5x3 layout to form matching combinations on the 243 paylines for big wins. 3+ landed Scatters in the main game unlock a bonus spins
https://bzstarz.com/be2fc0caf,Wild Lucky Chance Slot,https://admin-prod.b6zcdn.com/optimized_images/portrait/1spin4win/WildLuckyChance.webp,,97.6,RTP: 97.6%,"Don't let this opportunity slip away—seize your chance with Wild Lucky Chance, specifically crafted to evoke nostalgia and sheer delight."
https://bzstarz.com/be2fc0caf,Sugar Pop Slot,https://admin-prod.b6zcdn.com/optimized_images/portrait/bsg/SugarPop.webp,,97.6,RTP: 97.6%,"Sugar Pop introduces a brand new breed of game, a perfect combination of the best both video slots and casual games have to offer. This fun and addictive slot machine offers unique payline configurations, fun specialty candy features and level-based gameplay that encourages long-lasting entertainment. It will only take one spin to get you hooked on SUGAR POP."
https://bzstarz.com/be2fc0caf,Quest to the West Slot,https://admin-prod.b6zcdn.com/optimized_images/portrait/bsg/QuesttotheWest.webp,,97.53,RTP: 97.53%,"Get ready for an adventure of a lifetime. Follow the path of the Monkey King as you journey to lands unknown to discover riches of the West. Enjoy a classic Eastern Asian themed Slot with 5-reels, 25 paylines, plenty of WILDS, free respins and a chance to instantly win x1000!"
